Promotions[Promotion Key],Promotions[Promotion Label],Promotions[Promotion Name],Promotions[Promotion Description],Promotions[Discount Percent],Promotions[Promotion Type],Promotions[Promotion Category],Promotions[State Date],Promotions[End Date]
"1","001","No Discount","No Discount","0","No Discount","No Discount","01-01-2003 00:00:00","31-12-2010 00:00:00"
"2","002","North America Spring Promotion","North America Spring Promotion","0.05","Seasonal Discount","Store","01-01-2007 00:00:00","31-03-2007 00:00:00"
"3","003","North America Back-to-School Promotion","North America Back-to-School Promotion","0.1","Seasonal Discount","Store","01-07-2007 00:00:00","30-09-2007 00:00:00"
"4","004","North America Holiday Promotion","North America Holiday Promotion","0.2","Seasonal Discount","Store","01-11-2007 00:00:00","31-12-2007 00:00:00"
"5","005","Asian Holiday Promotion","Asian Holiday Promotion","0.15","Seasonal Discount","Store","01-11-2007 00:00:00","31-01-2008 00:00:00"
"6","006","Asian Spring Promotion","Asian Spring Promotion","0.2","Seasonal Discount","Store","01-02-2007 00:00:00","30-04-2007 00:00:00"
"7","007","Asian Summer Promotion","Asian Summer Promotion","0.1","Seasonal Discount","Store","01-05-2007 00:00:00","30-06-2007 00:00:00"
"8","008","European Spring Promotion","European Spring Promotion","0.07","Seasonal Discount","Store","01-02-2007 00:00:00","30-04-2007 00:00:00"
"9","009","European Back-to-Scholl Promotion","European Back-to-Scholl Promotion","0.1","Seasonal Discount","Store","01-08-2007 00:00:00","30-09-2007 00:00:00"
"10","010","European Holiday Promotion","European Holiday Promotion","0.2","Seasonal Discount","Store","01-10-2007 00:00:00","31-01-2008 00:00:00"
"11","011","North America Spring Promotion","North America Spring Promotion","0.05","Seasonal Discount","Store","01-01-2008 00:00:00","31-03-2008 00:00:00"
"12","012","North America Back-to-School Promotion","North America Back-to-School Promotion","0.1","Seasonal Discount","Store","01-07-2008 00:00:00","30-09-2008 00:00:00"
"13","013","North America Holiday Promotion","North America Holiday Promotion","0.2","Seasonal Discount","Store","01-11-2008 00:00:00","31-12-2008 00:00:00"
"14","014","Asian Holiday Promotion","Asian Holiday Promotion","0.15","Seasonal Discount","Store","01-11-2008 00:00:00","31-01-2009 00:00:00"
"15","015","Asian Spring Promotion","Asian Spring Promotion","0.2","Seasonal Discount","Store","01-02-2008 00:00:00","30-04-2008 00:00:00"
"16","016","Asian Summer Promotion","Asian Summer Promotion","0.1","Seasonal Discount","Store","01-05-2008 00:00:00","30-06-2008 00:00:00"
"17","017","European Spring Promotion","European Spring Promotion","0.07","Seasonal Discount","Store","01-02-2008 00:00:00","30-04-2008 00:00:00"
"18","018","European Back-to-Scholl Promotion","European Back-to-Scholl Promotion","0.1","Seasonal Discount","Store","01-08-2008 00:00:00","30-09-2008 00:00:00"
"19","019","European Holiday Promotion","European Holiday Promotion","0.2","Seasonal Discount","Store","01-10-2008 00:00:00","31-01-2009 00:00:00"
"20","020","North America Spring Promotion","North America Spring Promotion","0.05","Seasonal Discount","Store","01-01-2009 00:00:00","31-03-2010 00:00:00"
"21","021","North America Back-to-School Promotion","North America Back-to-School Promotion","0.1","Seasonal Discount","Store","01-07-2009 00:00:00","30-09-2009 00:00:00"
"22","022","North America Holiday Promotion","North America Holiday Promotion","0.2","Seasonal Discount","Store","01-11-2009 00:00:00","31-12-2009 00:00:00"
"23","023","Asian Holiday Promotion","Asian Holiday Promotion","0.15","Seasonal Discount","Store","01-11-2009 00:00:00","31-01-2010 00:00:00"
"24","024","Asian Spring Promotion","Asian Spring Promotion","0.2","Seasonal Discount","Store","01-02-2009 00:00:00","30-04-2009 00:00:00"
"25","025","Asian Summer Promotion","Asian Summer Promotion","0.1","Seasonal Discount","Store","01-05-2009 00:00:00","30-06-2009 00:00:00"
"26","026","European Spring Promotion","European Spring Promotion","0.07","Seasonal Discount","Store","01-02-2009 00:00:00","30-04-2009 00:00:00"
"27","027","European Back-to-Scholl Promotion","European Back-to-Scholl Promotion","0.1","Seasonal Discount","Store","01-08-2009 00:00:00","30-09-2009 00:00:00"
"28","028","European Holiday Promotion","European Holiday Promotion","0.2","Seasonal Discount","Store","01-10-2009 00:00:00","31-01-2010 00:00:00"
